f_findingid,s_studyid,s_ericid,reviewid,s_interventionid,s_intervention_name,s_productid,s_product_name,s_citation,s_publication,s_publication_date,s_posting_date,s_purpose_of_review,s_study_page_url,s_protocol,s_protocol_version,s_standards_version,s_study_design,s_study_rating,s_rating_reason,s_ineligibility_reason,s_class_type_general,s_class_type_inclusion,s_ell,s_frpl,s_international,s_swd,s_gender_female,s_gender_male,s_ethnicity_hispanic,s_ethnicity_not_hispanic,s_race_asian,s_race_black,s_race_native_american,s_race_other,s_race_pacific_islander,s_race_white,s_school_type_charter,s_school_type_parochial,s_school_type_private,s_school_type_public,s_urbanicity_rural,s_urbanicity_suburban,s_urbanicity_urban,s_program_type_curriculum,s_program_type_policy,s_program_type_practice,s_program_type_school_level,s_program_type_supplement,s_program_type_teacher_level,s_delivery_method_individual,s_delivery_method_school,s_delivery_method_small_group,s_delivery_method_whole_class,f_comparison,f_outcome_domain,f_outcome_measure,f_period,f_sample_description,f_is_subgroup,f_ss,f_t_ss,f_c_ss,f_cluster_ss,f_t_cluster_ss,f_c_cluster_ss,f_t_mean,f_c_mean,f_t_sd,f_c_sd,f_effect_size_study,f_effect_size_wwc,f_improvement_index,f_p_value_study,f_p_value_wwc,f_icc,f_is_stat_sig,f_finding_rating,f_essa_rating,s_multisite,f_l1_unit_of_analysis,qed,with_res,version_2_1_up,grade_band,grade_ece,grade_3_6,grade_k_3,grade_6_9,grade_9_12,topic,outcome_domain,alphabetics,literacy,math,other,science,interpersonal,intrapersonal,progress,comprehension,fluency,writing,outcome_var,category,broad,narrow,researcher,developer
5788,163,ED562712,1900851,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Department-funded evaluation,/Study/163,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,64.5,Science achievement,partnership for the assessment of standards-based science (pass): open ended,3 Years,Full sample,False,2585,1409,1176,66,35,31,66.389999,64.5,,,.090000004,.091361657,4,.23999999,.023392515,,False,Meets WWC standards with reservations,,,Student,0,0,1,3-6,0,1,0,0,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,partnership for assessment of readiness for college and careers (parcc),broad,1,0,0,0
5190,163,ED562712,1900851,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Elementary Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Department-funded evaluation,/Study/163,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,434.88,Science achievement,partnership for the assessment of standards-based science (pass): multiple choice,3 Years,Full sample,False,4123,2338,1785,94,51,43,435.79999,434.88,,,.0099999998,.010365792,0,.69800001,.74178898,,False,Meets WWC standards with reservations,,,Student,0,0,1,3-6,0,1,0,0,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,partnership for assessment of readiness for college and careers (parcc),broad,1,0,0,0
6029,500,,1901580,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Middle Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Grant Competition,/Study/500,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,327.22,Science achievement,partnership for the assessment of standards-based science (pass): multiple choice,3 Years,Full sample,False,2168,1036,1132,22,11,11,323.01999,327.22,,,-.039999999,-.03875177,-2,.24600001,.36815664,,False,Meets WWC standards with reservations,,,Student,0,0,1,6-9,0,0,0,1,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,partnership for assessment of readiness for college and careers (parcc),broad,1,0,0,0
6033,500,,1901580,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Middle Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Grant Competition,/Study/500,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,599.20001,Science achievement,stanford achievement test: science,3 Years,Houston sample,False,291,148,143,9,5,4,555.90002,599.20001,,,-.23,-.23137599,-9,.0060000001,.47523054,.2,False,Meets WWC standards with reservations,,,Student,0,0,1,6-9,0,0,0,1,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,stanford achievement test (sat),broad,1,0,0,0
6031,500,,1901580,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Middle Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Grant Competition,/Study/500,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,53.740002,Science achievement,partnership for the assessment of standards-based science (pass): performance test,3 Years,Full sample,False,1408,772,636,15,8,7,58.810001,53.740002,,,.12,.21261708,8,.51599997,.000089872519,,False,Meets WWC standards with reservations,,,Student,0,0,1,6-9,0,0,0,1,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,partnership for assessment of readiness for college and careers (parcc),broad,1,0,0,0
6034,500,,1901580,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Middle Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Grant Competition,/Study/500,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,254.52,Science achievement,north carolina end-of-grade state standardized test: science,3 Years,North Carolina sample,False,1409,522,887,14,7,7,252.39999,254.52,,,-.090000004,-.1097342,-4,.024,.6685065,.2,False,Meets WWC standards with reservations,,,Student,0,0,1,6-9,0,0,0,1,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,north carolina end-of-grade test,broad,1,0,0,0
6030,500,,1901580,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Middle Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Grant Competition,/Study/500,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,84.599998,Science achievement,partnership for the assessment of standards-based science (pass): open ended,3 Years,Full sample,False,1527,832,695,16,8,8,85.080002,84.599998,,,.029999999,.031127488,1,.477,.54515249,,False,Meets WWC standards with reservations,,,Student,0,0,1,6-9,0,0,0,1,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,partnership for assessment of readiness for college and careers (parcc),broad,1,0,0,0
6032,500,,1901580,13,The LASER Model,,,"Zoblotsky, T., Bertz, C., Gallagher, B., & Alberg, M. (2016). The LASER model: A systematic and sustainable approach for achieving high standards in science education: SSEC i3 Validation Final Report of Confirmatory and Exploratory Analyses [Middle Schools]. Memphis, TN: Center for Research in Educational Policy, University of Memphis.","Memphis, TN: Center for Research in Educational Policy, University of Memphis.",2016,,Grant Competition,/Study/500,Science,2,3,RCT,Meets WWC standards without reservations,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,3889,Science achievement,houston independent school district (hisd) staar state standardized test: science,3 Years,Houston sample,False,243,131,112,9,5,4,3734.2,3889,,,-.28999999,-.28550106,-11,.0049999999,.38511789,.2,False,Meets WWC standards with reservations,,,Student,0,0,1,6-9,0,0,0,1,0,science,general science,0,0,0,0,1,0,0,0,0,0,0,state of texas assessments of academic readiness (staar),broad,1,0,0,0
5698,9443,,1900659,742,READ 180ÃÂÃÂ®,665,READ 180ÃÂÃÂ® (Adolescent Literacy),"Interactive, Inc. (2002). An efficacy study of READ 180: A print and electronic adaptive intervention program, grades 4 and above. Ashland, VA: Author.","Ashland, VA: Author.",2002,,Intervention Report,/Study/9443,Adolescent Literacy,3,3,QED,Meets WWC standards with reservations, it uses a quasi-experimental design in which the analytic intervention and comparison groups satisfy the baseline equivalence requirement.,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,1,1,602.25,Comprehension,stanford 9 reading comprehension subtest,2 Semesters,Columbus; grades 6-7,False,171,119,52,171,119,52,621.52002,602.25,,,,.59731817,22,,.0004274869,,True,Meets WWC standards with reservations,ESSA Tier 2,True,Student,1,1,1,6-9,0,0,0,1,0,literacy,reading comprehension,0,0,0,0,0,0,0,0,1,0,0,stanford achievement test (sat),broad,1,0,0,0
5697,9443,,1900659,742,READ 180ÃÂÃÂ®,665,READ 180ÃÂÃÂ® (Adolescent Literacy),"Interactive, Inc. (2002). An efficacy study of READ 180: A print and electronic adaptive intervention program, grades 4 and above. Ashland, VA: Author.","Ashland, VA: Author.",2002,,Intervention Report,/Study/9443,Adolescent Literacy,3,3,QED,Meets WWC standards with reservations, it uses a quasi-experimental design in which the analytic intervention and comparison groups satisfy the baseline equivalence requirement.,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,1,1,642.41998,Comprehension,stanford 9 total reading score,2 Semesters,Boston; Dallas; Houston Grade: 6; 7; 8,False,710,387,323,710,387,323,648.47998,642.41998,,,,.21201353,8,0,.0052298578,,True,Meets WWC standards with reservations,ESSA Tier 2,True,Student,1,1,1,6-9,0,0,0,1,0,literacy,reading comprehension,0,0,0,0,0,0,0,0,1,0,0,stanford achievement test (sat),broad,1,0,0,0
5653,9517,,1900639,742,READ 180ÃÂÃÂ®,665,READ 180ÃÂÃÂ® (Adolescent Literacy),"White, R., Haslam, B. M., & Hewes, G. (2006). Improving student literacy in the Phoenix Union High School District 2003ÃÂ¢ÃÂÃÂ04 and 2004ÃÂ¢ÃÂÃÂ05. Washington, DC: Policy Studies Associates.","Washington, DC: Policy Studies Associates.",2006,,Intervention Report,/Study/9517,Adolescent Literacy,3,3,QED,Meets WWC standards with reservations, it uses a quasi-experimental design in which the analytic intervention and comparison groups satisfy the baseline equivalence requirement.,,,,42,,,,48.5,51.5,85,15,,,,,,,,,,1,,,1,0,0,0,0,0,0,0,0,0,0,38.099998,Literacy achievement,terranova reading test,2 Semesters,Cohort 3,False,2058,1029,1029,2058,1029,1029,39,38.099998,,,.1,.080902256,3,,.067484818,,True,Meets WWC standards with reservations,ESSA Tier 2,True,Student,1,1,1,9-12,0,0,0,0,1,literacy,general literacy,0,1,0,0,0,0,0,0,0,0,0,terranova,broad,1,0,0,0
5650,9517,,1900639,742,READ 180ÃÂÃÂ®,665,READ 180ÃÂÃÂ® (Adolescent Literacy),"White, R., Haslam, B. M., & Hewes, G. (2006). Improving student literacy in the Phoenix Union High School District 2003ÃÂ¢ÃÂÃÂ04 and 2004ÃÂ¢ÃÂÃÂ05. Washington, DC: Policy Studies Associates.","Washington, DC: Policy Studies Associates.",2006,,Intervention Report,/Study/9517,Adolescent Literacy,3,3,QED,Meets WWC standards with reservations, it uses a quasi-experimental design in which the analytic intervention and comparison groups satisfy the baseline equivalence requirement.,,,,42,,,,48.5,51.5,85,15,,,,,,,,,,1,,,1,0,0,0,0,0,0,0,0,0,0,38.299999,Literacy achievement,terranova reading test,2 Semesters,Cohort 2,False,1630,815,815,1630,815,815,41.200001,38.299999,,,.27000001,.27145499,11,,1.0499969e-07,,True,Meets WWC standards with reservations,ESSA Tier 2,True,Student,1,1,1,9-12,0,0,0,0,1,literacy,general literacy,0,1,0,0,0,0,0,0,0,0,0,terranova,broad,1,0,0,0
5666,9518,,1900647,742,READ 180ÃÂÃÂ®,665,READ 180ÃÂÃÂ® (Adolescent Literacy),"White, R., Williams, I., & Haslam, M. B. (2005). Performance of District 23 students participating in Scholastic READ 180. Washington, DC: Policy Studies Associates.","Washington, DC: Policy Studies Associates.",2005,,Intervention Report,/Study/9518,Adolescent Literacy,3,3,QED,Meets WWC standards with reservations, it uses a quasi-experimental design in which the analytic intervention and comparison groups satisfy the baseline equivalence requirement.,,1,,3,,,,,,27,73,,86,,,,,,,,1,,,1,1,0,0,0,1,0,0,0,0,0,686,Comprehension,new york state department of education end-of-year test in english language arts (nysde/ela),1 Year,Grade: 8 Lvl 2,False,425,47,378,425,47,378,689,686,,,,.20669195,8,,.18244386,,False,Meets WWC standards with reservations,,,Student,1,1,1,3-6,0,1,0,0,0,literacy,reading comprehension,0,0,0,0,0,0,0,0,1,0,0,new york state testing program (nystp),broad,1,0,0,0
5664,9518,,1900647,742,READ 180ÃÂÃÂ®,665,READ 180ÃÂÃÂ® (Adolescent Literacy),"White, R., Williams, I., & Haslam, M. B. (2005). Performance of District 23 students participating in Scholastic READ 180. Washington, DC: Policy Studies Associates.","Washington, DC: Policy Studies Associates.",2005,,Intervention Report,/Study/9518,Adolescent Literacy,3,3,QED,Meets WWC standards with reservations, it uses a quasi-experimental design in which the analytic intervention and comparison groups satisfy the baseline equivalence requirement.,,1,,3,,,,,,27,73,,86,,,,,,,,1,,,1,1,0,0,0,1,0,0,0,0,0,639,Comprehension,ctb/mcgraw-hill reading test,1 Year,Grade: 6 Lvl 2,False,471,64,407,471,64,407,642,639,,,,.15534687,6,,.2489038,,False,Meets WWC standards with reservations,,,Student,1,1,1,3-6,0,1,0,0,0,literacy,reading comprehension,0,0,0,0,0,0,0,0,1,0,0,ctb/mcgraw hill acuity,narrow,0,1,0,0
5667,9518,,1900647,742,READ 180ÃÂÃÂ®,665,READ 180ÃÂÃÂ® (Adolescent Literacy),"White, R., Williams, I., & Haslam, M. B. (2005). Performance of District 23 students participating in Scholastic READ 180. Washington, DC: Policy Studies Associates.","Washington, DC: Policy Studies Associates.",2005,,Intervention Report,/Study/9518,Adolescent Literacy,3,3,QED,Meets WWC standards with reservations, it uses a quasi-experimental design in which the analytic intervention and comparison groups satisfy the baseline equivalence requirement.,,1,,3,,,,,,27,73,,86,,,,,,,,1,,,1,1,0,0,0,1,0,0,0,0,0,707,Comprehension,new york state department of education end-of-year test in english language arts (nysde/ela),1 Year,Grade: 8 Lvl 3,False,201,10,191,201,10,191,718,707,,,,.67398036,25,,.039021391,,False,Does not meet WWC standards,,,Student,1,1,1,3-6,0,1,0,0,0,literacy,reading comprehension,0,0,0,0,0,0,0,0,1,0,0,new york state testing program (nystp),broad,1,0,0,0
7974,14318,,1902154,309,Accelerated MathÃÂ® ,684,Accelerated MathÃÂ®  (Primary Mathematics),"Lehmann, R. H., & Seeber, S. (2005). Accelerated Math in grades 4 through 6: evaluation of an experimental program in 15 schools in North Rhine-Westphalia. Berlin: Humboldt University.",Berlin: Humboldt University.,2005,,Intervention Report,/Study/14318,Primary Mathematics,3.0999999,3,QED,Meets WWC standards with reservations, it uses a quasi-experimental design in which the analytic intervention and comparison groups satisfy the baseline equivalence requirement.,,1,,,,1,,,,,,,,,,,,,,,1,,,,1,0,0,0,0,0,0,0,0,1,117.54,General Mathematics Achievement,hamburger schulleistungstest (hst),5 Months,Aggregated sample (Grades 4-6),False,1131,518,613,47,22,25,118.93,117.54,,,,.055,2,,.70099998,.2,False,Meets WWC standards with reservations,,,Student,1,1,1,3-6,0,1,0,0,0,math,general math,0,0,1,0,0,0,0,0,0,0,0,hamburger schulleistungstest (hst),narrow,0,1,0,0
